Наименование;Категории
Антиспермальные антитела класса IgA количественно (MAR-тест IgA);B
Прием (осмотр, консультация) врача-оториноларинголога повторный;B
RF-лифтинг (лицо) 20 минут;B
Пролактин;B
Антиспермальные антитела класса IgG количественно (MAR-тест IgG);B
Липолитическая мезотерапия BioGEL «Стройность» 2мл.;B
Оформление больничного листа ( 3-5 дней);B
Фемофлор Скрин-12 (ДНК);B
Глюкоза;B
Приём (осмотр, консультация) врача-уролога (расширенный 2 категория);B
Анестезия инфильтрационная;B
Антимюллеров гормон (АМГ, АМН, MiS);B
Исследование соскоба на энтеробиоз;B
Прием (осмотр, консультация) врача-психолога первичный ( 1 час);B
Организация продления медицинской книжки без аттестации;B
Массаж спины 40 минут;B
Фолликулостимулирующий гормон (ФСГ);B
Выезд врача- педиатра на дом;B
LPG общий массаж (время процедуры 35 минут);B
Получение влагалищного мазка;B
LPG общий массаж (время процедуры 35-40 минут);B
Прием врача акушера-гинеколога первичный;B
С-реактивный белок;B
Посев мочи на микрофлору с определением чувствительности к расширенному спектру антибиотиков и бактериофагам, в т.ч. кандида;B
Антитела к микросомальной тиреопероксидазе (Анти-ТПО);B
Контрастное эхогистеросальпингоскопия;B
Мануальная терапия ( 30 минут);B
Чекап базовый, женщины;B
Натрий, калий, хлор (Na/K/Cl);B
Креатинин;B
ПЕНТАКСИМ/ вакцина для профилактики дифтерии,коклюша,столбняка, полиомиелит+B и инфекций вызываемых Haemophilus influenzae тип b;B
Ультразвуковое исследование плода в III триместре беременности;B
Массаж общий 120 минут;B
Ультразвуковое исследование почек;B
Плазмотерапия (плазмолифтинг кожи лица) 1 пробирка;B
Антитела к хеликобактеру (Helicobacter pylori), IgG;B
Зонулин фекальный;B
Гомоцистеин;B
Ультразвуковое исследование мочевого пузыря;B
Ультразвуковое исследование почек и надпочечников;B
Выдача справки по форме 026/у;B
LPG общий массаж (время процедуры 25-30 минут);B
Генетическая диагностика наследственной гиперхолестеринемии (гены LDLR, PCSK9, APOB100);B
Аланинаминотрансфераза (АЛТ);B
Фемофлор-16 (ДНК);B
Антитела к уреаплазме (Ureaplasma urealyticum), IgG;B
N-концевой фрагмент натрийуретического пропептида В-типа (NT-proBNP);B
Вакцина для профилактики коклюша, дифтерии и столбняка - АДАСЕЛЬ 0,5 мл/1 доза №1;B
